id;name;type-id;is-active;template-id;parent-id;alt-name;title;h1;show_submenu;index_source;index_state;index_date;index_choose;index_level;descr;text_under_catalog;photo;tax_rate_id;price;old_price;common_quantity;description;1c_catalog_id;1c_product_id;artikul;photos;text_above_catalog;tip;raznovidnost;upravlenie;vyhodnaya_mownost_vt;napryazhenie_v;kolichestvo_svetodiodov_sht;shag_pikselya_mm;gercovka_hz;yarkost_nits;razmer_mm;proizvoditel;best_offers;svetovoj_potok_lm;cvet;temperatura_k;isklyuchit_iz_publikacii_na_veb-vitrine_mag1c;interfejs;razmer_mm_shirina_vysota;brend;new;sila_toka_a;shirina_mm;kratnost_reza_sm
2421;Магнит 12*8*1,2;307;1;1;2262;magnit-12-8-1-2;Магнит 12*8*1,2;Магнит 12*8*1,2;;;;;;;;;/images/cms/data/import_files/93/93a64087ffb711e9bb9d00155d005023_588396d1ab9911edbbad00155d006405.jpg;НДС по ставке 20%;10;0;500;Магнит 12*8*1,2;238e4031-cbb7-4107-9538-8df70738a5fe;93a64087-ffb7-11e9-bb9d-00155d005023;MAG12;;;;;;;;;;;;;;;;;;;;;;;;;
2541;Магнит М4 17 мм;307;1;1;2262;magnit-m4-17-mm;Магнит М4 17 мм;Магнит М4 17 мм;;;;;;;;;/images/cms/data/import_files/1a/1a5522af169711e6be96d850e610b119_5be3b145ab9a11edbbad00155d006405.jpg;НДС по ставке 20%;10;0;5060;"Магнит 14*17*1,3<br />
М4";238e4031-cbb7-4107-9538-8df70738a5fe;1a5522af-1697-11e6-be96-d850e610b119;MAG17M4;;;;;;;;;;;;;;;;;;;;;;;;;
2796;Магнит M3 17мм;307;1;1;2262;magnit-m3-17mm;Магнит M3 17мм;Магнит M3 17мм;;;;;;;;;/images/cms/data/import_files/c4/c47b6eb976db11e9bb9800155d005023_09bfdaecab9a11edbbad00155d006405.jpg;НДС по ставке 20%;10;0;10000;"Магнит 14*17*1,3<br />
M3";238e4031-cbb7-4107-9538-8df70738a5fe;c47b6eb9-76db-11e9-bb98-00155d005023;MAG17M3;;;;;;;;;;;;;;;;;;;;;;;;;
3237;Магнит М4 13*13*1,3;307;1;1;2262;magnit-m4-13-13-1-3;Магнит М4 13*13*1,3;Магнит М4 13*13*1,3;;;;;;;;;/images/cms/data/import_files/64/649ecdf861d411eebbb100155d006405_ba626c3861d411eebbb100155d006405.jpg;НДС по ставке 20%;10;0;57471;"Магнит 13*13*1,З<br />
М4";238e4031-cbb7-4107-9538-8df70738a5fe;649ecdf8-61d4-11ee-bbb1-00155d006405;MAG1;;;;;;;;;;;;;;;;;;;;;;;;;
3242;Магнит М4 14*13*1,3;307;1;1;2262;magnit-m4-14-13-1-3;Магнит М4 14*13*1,3;Магнит М4 14*13*1,3;;;;;;;;;/images/cms/data/import_files/db/db71eaae634e11eebbb100155d006405_375d47347f9011eebbb100155d006405.jpg;НДС по ставке 20%;10;0;12616;Магнит М4 14*13*1,3;238e4031-cbb7-4107-9538-8df70738a5fe;db71eaae-634e-11ee-bbb1-00155d006405;MAG2;;;;;;;;;;;;;;;;;;;;;;;;;
